ramanshift	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24	t25	t26
1375.962555	18268.26953	17513.17773	13765.64258	15727.08789	19616.99414	22404.82422	26396.33008	22607.08984	30268.06445	17722.05078	16663.21875	15932.74609	18945.81641	21993.94922	17792.99609	13403.16113	18570.00977	17859.91992	13257.3125	10815.80957	9237.74219	17324.87695	25051.3418	29775.74609	21204.77344	16888.87109
1375.018222	18149.75586	17599.88672	13910.45703	15629.47461	19403.64844	22391.05859	26158.33008	22591.5	30253.41016	17845.4668	16657.58398	15886.17578	18850.3125	22078.44922	17828.79102	13346.7793	18327.93945	17712.11133	13204.7168	10657.7002	9321.81934	17744.36523	24837.05859	29479.19141	21081.61133	16677.75195
1374.07389	17927.58203	17705.24023	14060.71973	15747.49902	19541.51758	22515.69141	25973.24219	22722.99609	30292.71875	18054.36133	16775.04492	15764.44824	18716.39453	22067.45898	17723.80664	13397.5498	18049.12109	17609.49414	13147.08008	10752.45215	9411.12402	17653.07813	24279.83594	29665.41016	20668.52734	16657.07422
1373.129557	17843.76758	17871.40234	13880.05664	15687.44043	19584.17383	22408.3457	25940.32227	22918.00781	30372.67188	18100.19531	16708.5625	15689.69629	18831.30078	21979.06641	17776.89453	13506.2373	17955.5293	17884.90234	13185.85742	10771.09277	9271.4248	17521.26367	23613.19141	29465.13086	20550.00781	16545.08594
1372.185224	17928.45117	17952.07031	13917.84961	15676.18262	19239.22266	22221.60547	26008.47656	22812.25781	30302.12305	17995.38867	16724.55664	15709.12793	18840.39844	21634.7793	17938.16602	13345.17676	18088.63477	17787.88086	13058.87012	10700.41016	9204.77441	17656.2793	23137.8457	29456.56836	20517.17188	16598.94336
1371.240891	17830.1582	17880.83203	13923.80762	16016.01074	19393.11133	22596.76758	25911.99414	22825.05273	30495.04883	18208.96875	16733.57813	15707.70605	18623.48633	21567.13086	18049.80859	13343.78516	17933.88672	17926.3457	13103.1084	10506.64551	9286.20703	17610.70313	22497.01563	29435.06641	20460.23828	16586.02148
1370.296558	17592.86328	17936.55859	13810.49805	16362.73633	19168.69922	22630.68555	25744.25195	23133.26953	30704.19727	17886.66797	16813.55664	15513.42578	18544.10156	21413.58594	18262.41016	13336.31738	17882.19141	17689.37891	13110.36914	10475.70508	9254.52832	17836.00195	21897.03516	29537.10352	20543.24414	16592.87305
1369.352225	17637.65625	18456.88867	13656.96875	16352.74219	19236.25391	22587.99609	25991.76563	22995.25	30560.25391	18087.9082	16838.37695	15586.98145	18742.15234	21220.49219	18490.02344	13379.78027	17967.05078	17761.94336	13154.95508	10610.34277	9179.32813	18272.31445	21699.60742	29360.66602	20290.92188	16378.54199
1368.407892	17354.33984	18498.92773	13669.30371	16353.4873	19553.88477	22717.95703	25801.89844	22717.62695	30668.94336	18231.05469	16960.05078	15714.11523	18370.66602	21177.74609	18547.4082	13405.76074	17816.04297	17680.53516	13097.80371	10488.90625	9359.56934	18167.83789	21352.07422	28850.23438	20360.49023	16568.49219
1367.463559	17264.55078	18324.36719	13629.77539	16551.35742	19604.76172	22500.89258	25738.57031	22591.67578	30581.29102	18214.55078	16789.04883	15549.46191	18701.59961	20838.46094	18588.94336	13210.93359	17719.75781	17925.53125	13286.1377	10453.39258	9188.49414	18313.75977	21174.35742	28623.20898	20071.74805	16538.64258
1366.519227	17322.66211	18394.03516	13707.21484	16414.13281	19023.57422	22585.76563	25829.2832	22440.99219	30735.25977	17975.08984	17147.55664	15930.00586	18381.1582	20549.82227	18878.20117	13286.04004	17608.22852	17862.46094	13372.18555	10390.97852	9482.88574	18603.83984	20705.84375	28599.92969	20078.53906	16486.11133
1365.574894	17317.50195	18608.4043	14002.58887	16341.54395	19213.52539	22364.94922	25899.74219	22142.31641	30771.18945	17899.89844	17165.35742	15670.96582	18417.5625	20606.28516	18731.16797	13405.46582	17642.62305	18154.93359	13390.21973	10775.18848	9424.26074	18920.04102	20659.51953	27933.56445	19992.88281	16497.43945
1364.630561	17470.38086	18440.96484	13991.7793	16414.15039	19210.71094	22710.76563	25539	21929.33984	30712.79492	17776.43359	17186.95508	16172.12109	18748.02539	20509.66016	19230.08789	13293.96777	17818.75781	18228.42578	13451.30078	10647.14453	9506.24902	19075.24805	20647.00586	27697.19922	20056.76953	16331.6543
1363.686228	17382.98633	18270.34766	13893.6748	16086.78809	19140.05469	22581.55273	25581.16602	21867.07422	31008.39844	17728.57617	16964.54688	16424.4375	18769.71094	20509.88672	19477.41016	13402.22266	17800.37305	18431.30469	13585.7793	10687.45898	9476.84473	19183.86133	20613.46094	27436.33008	20103.5957	16395.53125
1362.741895	17403.71094	18318.53906	13939.91699	15960.74512	19507.25	22585.30273	25698.82813	21910.17578	30637.95508	17575.40625	16961.13086	16713.94531	18612.45117	20476.91211	19581.16797	13413.12793	17740.10156	18493.17383	13628.9209	10726.44922	9421.51563	19347.5957	20423.63477	27282.68555	19996.45703	16352.42773
1361.797562	17413.35938	18366.1543	13886.37012	15973.97656	19533.50586	22855.12891	25659.69922	21921.07031	30619.05859	17513.73047	16912.41406	16651.18555	18596.17773	20790.64844	19897.55664	13427.65625	17846.26563	18716.91406	13599.88672	10948.71875	9427.65918	19270.25781	20207.66016	27305.43555	20101.37695	16297.19434
1360.853229	17329.49023	18371.89063	13786.99219	15953.91699	19376.35156	22925.24609	25659.87109	21880.72656	30555.54297	17489.79297	16574.08398	16595.24219	18409.39063	20560.75195	20159.49023	13603.63672	17840.0332	18584.8457	13532.1582	10942.82031	9459.77246	18898.00195	20434.41992	26777.32227	20110.10742	16132.7373
1359.908896	17287.47656	18397.47656	13834.80566	15867.56348	19463.74609	22802.87695	25593.13086	21491.01367	30316.07031	17540.58789	16534.08984	16560.27344	18524.8457	20486.24219	20370.38086	13494.62012	17899.80273	18588.64453	13785.91797	10950.59277	9452.96875	18625.89258	20387.58398	26779.32422	20080.27539	16110.58301
1358.964564	17374.46094	18477.80273	13924.57422	15794.87988	19457.49805	22731.63672	25778.13477	21627.07031	30380.6582	17469.41211	16373.41309	16395.63477	18699.4043	20619.4707	20526.39258	13384.84277	17943.18945	18899.81836	13893.08496	11013.55078	9497.58105	18766.54102	20116.04492	26782.11133	20277.41602	16101.98145
1358.020231	17255.80078	18415.96875	13925.83691	15660.63281	19428.42383	22957.69336	25721.94141	21781.93555	30299.25586	17421.125	16221.9375	16173.08203	18602.62109	20638.79102	20582.74023	13539.53613	17776.72461	18911.72852	13819.09082	10983.95898	9603.31055	18931.34375	20099.07031	26754.13281	20396.5	16098.23438
1357.075898	17148.62891	18424.4707	14018.2041	15795.09863	19559.08008	23002.0957	25570.23633	21805.49219	30276.96484	17482.16016	15893.6123	16153.13672	18659.23047	20648.70508	20485.9668	13489.4209	17850.41797	18849.3457	13811.31738	10936.36914	9592.77148	18907.78125	20252.02344	26338.23047	20490.26563	16004.53613
1356.131565	17202.25781	18494.42578	13986.34766	15828.04395	19591.30273	22723.63867	25569.02539	21658.94336	30149.25	17469.07617	15757.00781	15988.52051	18636.92383	20340.75195	20538.02734	13637.84082	17943.92188	19039.19922	13856.58594	10997.38672	9528.65527	18599.20898	20340.61719	26305.11719	20570.5	16104.66504
1355.187232	17160.95703	18455.19727	14032.90625	15712.51758	19645.58594	22795.33594	25686.6543	21554.25195	30118.21289	17564.41602	15786.97461	16037.16602	18465.96484	20027.8457	20582.20898	13760.81152	17857.42383	18738.33008	13835.6123	10930.77832	9420.44141	18478.84961	20189.01953	26249.17773	20792.10352	16123.68652
1354.242899	17176.88086	18335.35156	13941.44141	15585.45508	19873.4668	22773.40625	25735.63086	21748.82227	30331.72656	17478.26563	15745.97559	16128.86426	18669.67383	19997.79883	20553.9707	13773.75098	17869.61133	18821.91016	13838.32324	10924.1875	9373.42383	18458.07227	20186.98438	26187.7207	20736.46875	16173.20117
1353.298566	17150.98633	18410.32617	14051.40039	15632.80566	19976.6875	22575.98828	25656.63281	21709.86328	30298.55273	17448.76172	15681.69434	16066.74902	18780.2168	19931.81641	20256.00781	13594.55176	18084.01172	18870.51172	14009.16504	11087.28418	9479.36035	18605.06055	20170.91992	25970.48633	20906.56641	16283.80566
1352.354233	17171.90039	18292.9707	14116.47168	15504.4668	19959.14258	22679.67188	25384.65039	21556.55469	30431.53711	17600.87695	15785.99609	15967.30957	18661.41602	20043.07227	20153.04688	13526.71484	18251.91211	18709.70117	13858.50488	10778.58887	9463.45605	18563.91992	20033.58008	25551.2168	20941.39844	16160.11719
1351.409901	16909.62891	18032.25781	14074.1377	15313.53027	20052.87695	22825.45117	25584.75977	21734.35938	30601.69141	17503.61328	15990.44531	15954.02246	18563.20508	19962.0293	20075.01953	13619.24805	18199.70703	18682.91992	13956.92676	10702.13379	9418.5332	18228.91992	20110.44922	25510.53906	21115.84766	16073.37207
1350.465568	16923.09961	18177.25	14038.83691	15362.96875	19908.00391	22721.14258	25722.07813	21621.73047	30579.97461	17618.79102	15733.32129	15764.07227	18584.86719	19838.74219	19986.61328	13636.80859	18282.65625	18805.13086	13988.86523	10651.98438	9347.54199	18431.12109	19786.11914	25765.88086	21247.82617	16188.17871
1349.521235	16710.91406	18172.87305	14049.28516	15208.18262	19894.05273	22775.9043	25466.72852	21741.41016	30376.53906	17492.67969	15812.73145	15998.06445	18857.30469	19501.07617	19522.51172	13907.47559	18290.92969	18624.01172	13792.77344	10607.41797	9324.55273	18396.70508	19633.23047	25324.47852	21089.49414	16000.99023
1348.576902	16967.67188	18064.15234	13906.53418	15327.25781	19776.39648	22672.97852	25626.53711	21750.84961	30115.04688	17396.14648	15575.41504	16038.48242	18783.08008	19507.93555	19311.69531	13604.53711	18547.93359	18404.86328	14134.15625	10503.27148	9383.72266	18362.73047	19621.71094	25046.61328	21051.98438	16239.2832
1347.632569	16800.13086	18108.06641	13921.29199	15266.51367	19856.84375	22769.67578	25732.81836	22030.83789	29838.98438	17287.60938	15742.17578	15749.2041	19148.93164	19418.36523	19089.1582	13619.74512	18554.3457	18542.69531	14132.41211	10478.34668	9527.07715	18455.42383	19821.38086	25078.7207	21025.56836	16249.18164
1346.688236	16901.80273	17757.86719	13725.62012	15251.02148	20125.89648	22338.74805	25470.36719	22116.74414	30171.47266	17587.84766	15439.81836	15613.91895	19305.44336	19701.28711	19126.39063	13571.61035	18538.56055	18372.27734	13654.67871	10551.00195	9026.44824	18627.43359	19531.12305	25100.09961	20956.70313	16097.14746
