shiftb	a	b	k
1317.58	17716.8	19939.7	12779.1
1316.15	17775.45	20018.6	12740.2
1314.73	17778.45	19826.8	13049
1313.31	17621.55	19708.9	12670.9
1311.88	17447.3	19337	12704.2
1310.46	17031.8	18972.2	12296.4
1309.04	16914.9	18626.9	11581.6
1307.61	16677.65	18353.6	11643.1
1306.19	16509.45	17847.6	11409.5
1304.76	16324.3	17644.8	11527.2
1303.34	16135.7	17290	10953.4
1301.91	15887.65	17060.5	10946.6
1300.49	15791.05	16919.3	10843.1
1299.06	15640.7	16623.2	10561.1
1297.64	15498.5	16550.6	10696.2
1296.21	15534.15	16550.3	10745.5
1294.78	15271.2	16509.8	10428.6
1293.36	15398.4	16593.1	10667.1
1291.93	15397.25	16755.8	10816.3
1290.5	15343.5	16725.8	10913
1289.07	15493.45	17110.3	10951.8
1287.65	15778.15	17249.4	10871.3
1286.22	15801.4	17428.8	11491.4
1284.79	15932.55	17860.8	11615.9
1283.36	16031.6	18007.9	11610.8
1281.93	16208.15	18051.2	11822.8
1280.5	16520.6	18370.8	12132.6
1279.07	16522.05	18627.9	12057.5
1277.65	16708.95	18754.4	12429.9
1276.22	17099.2	18964.8	12620.6
1274.79	17081.35	19286.4	12821.7
1273.36	17557.6	19398.1	13035
1271.92	17727.3	19710.7	13337.5
1270.49	17956.35	19872.4	13253.6
1269.06	18082.2	19928.7	13241.4
1267.63	18066.55	20088.5	13608.2
1266.2	18176.1	20059.1	13557.5
1264.77	18371.15	19980.8	13492.9
1263.34	18260	20115.6	13679.6
1261.9	18393.4	20157.2	13487.8
1260.47	18297.45	20064.4	13901.4
1259.04	18389.9	20210	14140.3
1257.6	18297.6	20472	14011.3
1256.17	18163.95	20521	14115.9
1254.74	18236.1	20886.3	14516.9
1253.3	18263.5	21125.8	14457.7
1251.87	18272.85	21286.9	14384.3
1250.43	18256.65	21528	14713.8
1249	18044.2	21475.8	14891.4
1247.57	18271.95	21544.9	14945.2
1246.13	18263.35	21438.7	14537.7
1244.69	17898.85	21350.5	14811.2
1243.26	17993.6	21044.6	14642.1
1241.82	17855.1	20924	14644
1240.39	17688.65	20530.8	14485.5
1238.95	17397.65	20140.5	14402.1
1237.51	17134.05	20021.9	13984.7
1236.08	17105.9	19785	13876.9
1234.64	17030.9	19395.7	13738
1233.2	16405.7	19080.7	13320.9
1231.76	16492.6	18618.1	13258.7
1230.33	16155.15	18248.3	12906
1228.89	15851.45	17696.7	12286
1227.45	15516.05	17313.9	11784.4
1226.01	15092.65	16824.1	11762.5
1224.57	14663.15	16360.6	11247.3
1223.13	14454.95	16145.5	10833
1221.69	14108.95	15332.6	10425.8
1220.25	13649.15	15329.1	10466.7
1218.81	13682.55	14979.5	10281.9
1217.37	13774.95	14900.9	10005.2
1215.93	13873.05	14938.5	9940.4
1214.49	14245.85	15049	10069.9
1213.05	15021.55	15397.6	10341.6
1211.61	15802.15	15850.3	10854.3
1210.17	16549.55	16314.3	10884.7
1208.72	17403.7	16868.3	11334.9
1207.28	17652.4	17084	11393
1205.84	17824.2	16772.8	11523.9
1204.4	17375.1	16423.6	10665.3
1202.95	16563.45	15527.1	10268.1
1201.51	15619.85	14845.6	9404.8
1200.07	14499.95	14195.6	8865.7
1198.62	13606.2	13373.3	8166
1197.18	12785.4	12906.1	7189.4
1195.73	12152.45	12608.7	7097.8
1194.29	11845.65	12391.7	6826.1
1192.85	11135.15	12116.4	6840
1191.4	10981.5	11841.3	6674.2
1189.95	10549.45	11634.3	6095
1188.51	10421.85	11534.5	6268.2
1187.06	10096.1	11432	5857.1
1185.62	9867.3	11358.3	5451.1
1184.17	10022.85	11307.6	5622.8
1182.72	9941	11355.5	5998.3
1181.28	9817.1	11351.6	6047
1179.83	10025.55	11273.9	5898.9
1178.38	10049.1	11174.3	6303.6
1176.94	10204.5	11437.5	6357.4
1175.49	10567.55	11278.7	6568.5
1174.04	10719.4	11250.6	6746.7
1172.59	10565.05	11212.7	6472.7
1171.14	10490.7	10929.2	6435.1
1169.69	9889.05	10586.5	6218.2
1168.24	9393.9	10248	5546
1166.79	8807.05	9830.9	5745
1165.34	8302.5	9412.8	5078.2
1163.89	8248.25	9343.6	4913.5
1162.44	8057.2	9380.2	4833.2
1160.99	7822.05	9398.4	4880.6
1159.54	8047.6	9466.6	5058.9
1158.09	8012.85	9508.4	4983.9
1156.64	7935.7	9417.4	4988.1
1155.19	7827.05	9178.4	4935.6
1153.74	7607	9019.9	4936.4
1152.29	7399.65	8548.6	4765.1
1150.83	7123.65	8155	4339.3
1149.38	6799.5	7906.1	4116.5
1147.93	6555.15	7625.1	3959.2
1146.47	6230.65	7216.9	4020.7
1145.02	5977.3	7139.7	3748.3
1143.57	6122.55	7019	3763.1
1142.11	5957.65	6815.8	3613.1
1140.66	5980.2	6743.9	3684.8
1139.2	5974.1	6768.2	3859.7
1137.75	6304.85	7062.4	4060.2
1136.29	6546.65	7370.2	4346.8
1134.84	7098.8	7825.6	4306.6
1133.38	7335.2	8418.3	4828.3
1131.93	8077.05	9181.9	5152.2
1130.47	8736.75	9977.9	5871
1129.02	9201.7	10887.4	6220.3
1127.56	9841.6	11627.3	6351.7
1126.1	10183.2	11924.7	6323.5
